;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;6.251;5.292;4.306;3.539;2.873;2.259;1.671;1.089;0.498;0;0;0
6;15.856;14.225;12.619;11.425;10.430;9.547;8.731;7.951;7.188;5.645;0;0
9;25.462;23.158;20.932;19.310;17.987;16.836;15.791;14.813;13.873;12.028;0;0
12;35.067;32.090;29.245;27.196;25.544;24.124;22.851;21.674;20.558;18.411;2.529;0
15;44.672;41.024;37.558;35.082;33.101;31.412;29.911;28.535;27.244;24.794;7.908;0
18;54.278;49.956;45.870;42.968;40.658;38.700;36.971;35.397;33.929;31.176;13.286;0
21;63.883;58.889;54.183;50.853;48.215;45.988;44.031;42.258;40.614;37.559;18.664;0
24;73.488;67.822;62.496;58.739;55.772;53.276;51.091;49.120;47.300;43.941;24.042;0
27;83.093;76.755;70.809;66.625;63.329;60.564;58.151;55.981;53.985;50.324;29.421;0
30;92.699;85.689;79.122;74.511;70.885;67.853;65.211;62.843;60.670;56.707;34.799;0
