;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;29.977;38.392;44.302;45.588;43.675;39.155;32.271;23.070;11.427;0;0;0
6;76.039;103.199;129.825;147.176;158.562;165.469;168.651;168.485;165.130;148.646;0;0
9;122.101;168.010;215.348;248.765;273.449;291.178;305.031;313.888;318.722;316.706;0;0
12;168.161;232.810;300.871;350.353;388.336;418.099;441.410;459.289;472.315;484.765;103.002;0
15;214.224;297.622;386.394;451.941;503.222;544.414;577.790;604.689;625.907;652.824;322.113;0
18;260.285;362.429;471.916;553.529;618.109;670.728;714.171;750.090;779.500;820.884;541.200;0
21;306.347;427.237;557.439;655.117;732.995;797.043;850.550;895.490;933.092;988.942;760.285;0
24;352.408;492.038;642.962;756.705;847.881;923.355;986.929;1040.891;1086.682;1157.002;979.372;0
27;398.470;556.852;728.485;858.293;962.769;1049.671;1123.309;1186.292;1240.277;1325.062;1198.458;0
30;444.531;621.658;814.005;959.881;1077.652;1175.987;1259.689;1331.690;1393.870;1493.121;1417.546;0
