;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90;3;6;12
1;1.587;1.106;0.752;0.521;0.344;0.197;0.071;0;0;0;0;0;0;0;0
3;10.003;8.818;7.948;7.371;6.920;6.541;6.208;5.909;5.637;5.153;3.525;2.588;0;0;0
6;22.257;19.680;16.809;12.676;10.106;8.744;7.855;7.206;6.701;5.949;4.102;3.248;1.109;0;0
9;33.188;16.183;10.942;9.171;8.121;7.389;6.835;6.394;6.031;5.460;3.929;3.178;1.317;0;0
12;19.019;12.389;9.768;8.455;7.601;6.980;6.498;6.108;5.783;5.264;3.842;3.132;1.378;0.065;0
15;15.700;11.558;9.334;8.152;7.366;6.787;6.334;5.965;5.656;5.160;3.791;3.103;1.405;0.181;0
18;14.795;11.175;9.107;7.985;7.232;6.675;6.237;5.879;5.579;5.097;3.759;3.083;1.420;0.268;0
21;14.346;10.953;8.966;7.878;7.146;6.601;6.173;5.822;5.528;5.054;3.736;3.069;1.429;0.328;0
24;14.076;10.808;8.871;7.805;7.085;6.549;6.127;5.782;5.491;5.023;3.719;3.058;1.435;0.370;0
27;13.895;10.705;8.802;7.751;7.040;6.511;6.093;5.751;5.463;5.000;3.706;3.050;1.440;0.400;0
30;13.764;10.629;8.750;7.710;7.006;6.481;6.067;5.728;5.442;4.982;3.696;3.043;1.443;0.422;0
